OTUID	Rank1	Rank2	Rank3	Rank4	Rank5	Rank6	Rank7	FullTaxonomy	LeafTaxa	superkingdom	phylum	class	kingdom	order	family	genus	species	subclass	subphylum	tribe	varietas	subfamily	superorder	subtribe	subgenus
a451a84a973b5cedf5fbb7d7d1a1197b	Eukaryota	SAR	Stramenopiles	Ochrophyta	Bacillariophyceae	Navicula	Navicula	Eukaryota; SAR; Stramenopiles; Ochrophyta; Bacillariophyceae; Navicula; Navicula	Navicula	Eukaryota	Bacillariophyta	Bacillariophyceae	NA	Naviculales	Naviculaceae	Navicula	NA	NA	NA	NA	NA	NA	NA	NA	NA
c0980afd2b9fdfdd3a43667b0993db3a	Eukaryota	SAR	Stramenopiles	Ochrophyta	Bacillariophyceae	Gomphonema	Gomphonema	Eukaryota; SAR; Stramenopiles; Ochrophyta; Bacillariophyceae; Gomphonema; Gomphonema	Gomphonema	Eukaryota	Bacillariophyta	Bacillariophyceae	NA	Cymbellales	Gomphonemataceae	Gomphonema	NA	NA	NA	NA	NA	NA	NA	NA	NA
373d3e1bf9dfa66cb3e3f7da046b05ad	Eukaryota	SAR	Stramenopiles	Ochrophyta	Fragilariales	Ulnaria	Ulnaria	Eukaryota; SAR; Stramenopiles; Ochrophyta; Fragilariales; Ulnaria; Ulnaria	Ulnaria	Eukaryota	Bacillariophyta	Fragilariophyceae	NA	Licmophorales	Ulnariaceae	Ulnaria	NA	Fragilariophycidae	NA	NA	NA	NA	NA	NA	NA
7d63020bb7cc20a8c8226d8ab36b32db	Eukaryota	Archaeplastida	Chloroplastida	Chlorophyta	Chaetophorales	Stigeoclonium	Stigeoclonium	Eukaryota; Archaeplastida; Chloroplastida; Chlorophyta; Chaetophorales; Stigeoclonium; Stigeoclonium	Stigeoclonium	Eukaryota	Chlorophyta	Chlorophyceae	Viridiplantae	Chaetophorales	Chaetophoraceae	Stigeoclonium	NA	NA	NA	NA	NA	NA	NA	NA	NA
ac514b00e3dc1073e61de149a6eca58e	Eukaryota	SAR	Stramenopiles	Ochrophyta	Bacillariophyceae	Nitzschia	Nitzschia	Eukaryota; SAR; Stramenopiles; Ochrophyta; Bacillariophyceae; Nitzschia; Nitzschia	Nitzschia	Eukaryota	Platyhelminthes	Monogenea	Metazoa	Capsalidea	Capsalidae	Nitzschia	NA	Monopisthocotylea	NA	NA	NA	NA	NA	NA	NA
8a5f1518c957a984e2b8aabc3a3d50f6	Eukaryota	SAR	Stramenopiles	Ochrophyta	Chrysocapsales	Hydrurus	Hydrurus	Eukaryota; SAR; Stramenopiles; Ochrophyta; Chrysocapsales; Hydrurus; Hydrurus	Hydrurus	Eukaryota	NA	Chrysophyceae	NA	Hydrurales	Hydruraceae	Hydrurus	NA	NA	NA	NA	NA	NA	NA	NA	NA
2319065e31cb02bb7157919b9699113d	Eukaryota	SAR	Stramenopiles	Ochrophyta	Bacillariophyceae	Sellaphora	Eolimna minima	Eukaryota; SAR; Stramenopiles; Ochrophyta; Bacillariophyceae; Sellaphora; Eolimna minima	Eolimna minima	Eukaryota	Bacillariophyta	Bacillariophyceae	NA	Naviculales	Naviculaceae	Eolimna	Eolimna minima	NA	NA	NA	NA	NA	NA	NA	NA
f0df127bcdaedd58f850dae3d67aef9e	Eukaryota	Archaeplastida	Chloroplastida	Chlorophyta	NA	NA	NA	Eukaryota; Archaeplastida; Chloroplastida; Chlorophyta; Ambiguous_taxa; Ambiguous_taxa; Ambiguous_taxa	Chlorophyta	Eukaryota	Chlorophyta	NA	Viridiplantae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fd5469d2185d5afd37dc7addfd50199e	Eukaryota	SAR	Stramenopiles	Ochrophyta	Diatomea	Coscinodiscophytina	Paralia sol	Eukaryota; SAR; Stramenopiles; Ochrophyta; Diatomea; Coscinodiscophytina; Paralia sol	Paralia sol	Eukaryota	Bacillariophyta	Coscinodiscophyceae	NA	Paraliales	Paraliaceae	Paralia	Paralia sol	Coscinodiscophycidae	NA	NA	NA	NA	NA	NA	NA
65cd5a33a7d4648e7f5c76dfda4a6bb6	Eukaryota	SAR	Stramenopiles	Ochrophyta	Bacillariophytina	Bacillariophyceae	Bacillariophyceae	Eukaryota; SAR; Stramenopiles; Ochrophyta; Bacillariophytina; Bacillariophyceae; Bacillariophyceae	Bacillariophyceae	Eukaryota	Bacillariophyta	Bacillariophyceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9fbe4c6a957bcc07b5b3b7c389aee085	Eukaryota	SAR	Stramenopiles	Ochrophyta	Bacillariophyceae	Navicula	Navicula	Eukaryota; SAR; Stramenopiles; Ochrophyta; Bacillariophyceae; Navicula; Navicula	Navicula	Eukaryota	Bacillariophyta	Bacillariophyceae	NA	Naviculales	Naviculaceae	Navicula	NA	NA	NA	NA	NA	NA	NA	NA	NA
7858ec4af47f6cf5a2da732dcb7d62f0	Eukaryota	SAR	Stramenopiles	Ochrophyta	Chrysocapsales	Hydrurus	Hydrurus	Eukaryota; SAR; Stramenopiles; Ochrophyta; Chrysocapsales; Hydrurus; Hydrurus	Hydrurus	Eukaryota	NA	Chrysophyceae	NA	Hydrurales	Hydruraceae	Hydrurus	NA	NA	NA	NA	NA	NA	NA	NA	NA
6a5b910120e709a80654acd40fd5170c	Eukaryota	SAR	Stramenopiles	Ochrophyta	Melosirids	Melosira	Melosira varians	Eukaryota; SAR; Stramenopiles; Ochrophyta; Melosirids; Melosira; Melosira varians	Melosira varians	Eukaryota	Bacillariophyta	Coscinodiscophyceae	NA	Melosirales	Melosiraceae	Melosira	Melosira varians	Coscinodiscophycidae	NA	NA	NA	NA	NA	NA	NA
88fc590cb04f494273a1e1632f64acc8	Eukaryota	SAR	Stramenopiles	Ochrophyta	Bacillariophyceae	Navicula	Navicula	Eukaryota; SAR; Stramenopiles; Ochrophyta; Bacillariophyceae; Navicula; Navicula	Navicula	Eukaryota	Bacillariophyta	Bacillariophyceae	NA	Naviculales	Naviculaceae	Navicula	NA	NA	NA	NA	NA	NA	NA	NA	NA
291dc621c6afdc9eab0fd5361e971c5e	Eukaryota	SAR	Stramenopiles	Ochrophyta	Bacillariophyceae	Sellaphora	Eolimna minima	Eukaryota; SAR; Stramenopiles; Ochrophyta; Bacillariophyceae; Sellaphora; Eolimna minima	Eolimna minima	Eukaryota	Bacillariophyta	Bacillariophyceae	NA	Naviculales	Naviculaceae	Eolimna	Eolimna minima	NA	NA	NA	NA	NA	NA	NA	NA
2098b07073446bf46622acaf39f6d9e7	Eukaryota	SAR	Stramenopiles	Ochrophyta	Chrysocapsales	Hydrurus	Hydrurus	Eukaryota; SAR; Stramenopiles; Ochrophyta; Chrysocapsales; Hydrurus; Hydrurus	Hydrurus	Eukaryota	NA	Chrysophyceae	NA	Hydrurales	Hydruraceae	Hydrurus	NA	NA	NA	NA	NA	NA	NA	NA	NA
e53d30ef85e0a8d6c88d064de339a9aa	Eukaryota	SAR	Stramenopiles	Ochrophyta	Bacillariophyceae	Gomphonema	Gomphonema	Eukaryota; SAR; Stramenopiles; Ochrophyta; Bacillariophyceae; Gomphonema; Gomphonema	Gomphonema	Eukaryota	Bacillariophyta	Bacillariophyceae	NA	Cymbellales	Gomphonemataceae	Gomphonema	NA	NA	NA	NA	NA	NA	NA	NA	NA
10d3f6daf9e952da75bb275a022256c6	Eukaryota	SAR	Stramenopiles	Ochrophyta	Bacillariophyceae	Amphora	Amphora	Eukaryota; SAR; Stramenopiles; Ochrophyta; Bacillariophyceae; Amphora; Amphora	Amphora	Eukaryota	Bacillariophyta	Bacillariophyceae	NA	Thalassiophysales	Catenulaceae	Amphora	NA	NA	NA	NA	NA	NA	NA	NA	NA
2e05cd410736ac7e728523f137fd8f2c	Eukaryota	SAR	Stramenopiles	Ochrophyta	Bacillariophyceae	Sellaphora	Eolimna minima	Eukaryota; SAR; Stramenopiles; Ochrophyta; Bacillariophyceae; Sellaphora; Eolimna minima	Eolimna minima	Eukaryota	Bacillariophyta	Bacillariophyceae	NA	Naviculales	Naviculaceae	Eolimna	Eolimna minima	NA	NA	NA	NA	NA	NA	NA	NA
fe631e403b58c2d366fa97f9a2885df5	Eukaryota	SAR	Stramenopiles	Ochrophyta	Bacillariophyceae	Surirella	Surirella	Eukaryota; SAR; Stramenopiles; Ochrophyta; Bacillariophyceae; Surirella; Surirella	Surirella	Eukaryota	Bacillariophyta	Bacillariophyceae	NA	Surirellales	Surirellaceae	Surirella	NA	NA	NA	NA	NA	NA	NA	NA	NA
607e8c664794987149727a7b65bb7893	Eukaryota	SAR	Stramenopiles	Ochrophyta	Bacillariophyceae	Nitzschia	Nitzschia	Eukaryota; SAR; Stramenopiles; Ochrophyta; Bacillariophyceae; Nitzschia; Nitzschia	Nitzschia	Eukaryota	Platyhelminthes	Monogenea	Metazoa	Capsalidea	Capsalidae	Nitzschia	NA	Monopisthocotylea	NA	NA	NA	NA	NA	NA	NA
ca267ccddad5f6c6fa492c03a7777c8b	Eukaryota	SAR	Stramenopiles	Ochrophyta	Mediophyceae	Cyclotella	Cyclotella	Eukaryota; SAR; Stramenopiles; Ochrophyta; Mediophyceae; Cyclotella; Cyclotella	Cyclotella	Eukaryota	Bacillariophyta	Coscinodiscophyceae	NA	Thalassiosirales	Stephanodiscaceae	Cyclotella	NA	Thalassiosirophycidae	NA	NA	NA	NA	NA	NA	NA
cb0a4d7434542e85a9af86868097da4f	Eukaryota	SAR	Stramenopiles	Ochrophyta	Bacillariophyceae	Gomphonema	Gomphonema	Eukaryota; SAR; Stramenopiles; Ochrophyta; Bacillariophyceae; Gomphonema; Gomphonema	Gomphonema	Eukaryota	Bacillariophyta	Bacillariophyceae	NA	Cymbellales	Gomphonemataceae	Gomphonema	NA	NA	NA	NA	NA	NA	NA	NA	NA
0759a784cb578df2d89d5cf412e992ca	Eukaryota	Archaeplastida	Chloroplastida	Chlorophyta	Cladophorales	NA	NA	Eukaryota; Archaeplastida; Chloroplastida; Chlorophyta; Cladophorales; Ambiguous_taxa; Ambiguous_taxa	Cladophorales	Eukaryota	Chlorophyta	Ulvophyceae	Viridiplantae	Cladophorales	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
30212514b26a22260e6301d15542e833	Eukaryota	SAR	Stramenopiles	Ochrophyta	Bacillariophytina	Bacillariophyceae	Bacillariophyceae	Eukaryota; SAR; Stramenopiles; Ochrophyta; Bacillariophytina; Bacillariophyceae; Bacillariophyceae	Bacillariophyceae	Eukaryota	Bacillariophyta	Bacillariophyceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
896eacefb400f6ca2ebaaec7e3140c89	Eukaryota	SAR	Stramenopiles	Ochrophyta	Bacillariophyceae	Navicula	Navicula	Eukaryota; SAR; Stramenopiles; Ochrophyta; Bacillariophyceae; Navicula; Navicula	Navicula	Eukaryota	Bacillariophyta	Bacillariophyceae	NA	Naviculales	Naviculaceae	Navicula	NA	NA	NA	NA	NA	NA	NA	NA	NA
d369f10bc02976f38fe7a11e27d9ef08	Eukaryota	SAR	Stramenopiles	Ochrophyta	Mediophyceae	Pleurosira	Pleurosira	Eukaryota; SAR; Stramenopiles; Ochrophyta; Mediophyceae; Pleurosira; Pleurosira	Pleurosira	Eukaryota	Bacillariophyta	Mediophyceae	NA	Triceratiales	Triceratiaceae	Pleurosira	NA	Biddulphiophycidae	NA	NA	NA	NA	NA	NA	NA
9a7b357e29f797d9d324b6ddb79ff352	Eukaryota	SAR	Stramenopiles	Ochrophyta	Chrysocapsales	Hydrurus	Hydrurus	Eukaryota; SAR; Stramenopiles; Ochrophyta; Chrysocapsales; Hydrurus; Hydrurus	Hydrurus	Eukaryota	NA	Chrysophyceae	NA	Hydrurales	Hydruraceae	Hydrurus	NA	NA	NA	NA	NA	NA	NA	NA	NA
49449b30f26943f130268499b36e5789	Eukaryota	SAR	Stramenopiles	Ochrophyta	Melosirids	Melosira	Melosira varians	Eukaryota; SAR; Stramenopiles; Ochrophyta; Melosirids; Melosira; Melosira varians	Melosira varians	Eukaryota	Bacillariophyta	Coscinodiscophyceae	NA	Melosirales	Melosiraceae	Melosira	Melosira varians	Coscinodiscophycidae	NA	NA	NA	NA	NA	NA	NA
dd05dc4db082a902fef34dd5702eb3d2	Eukaryota	SAR	Stramenopiles	Ochrophyta	Bacillariophytina	Bacillariophyceae	Bacillariophyceae	Eukaryota; SAR; Stramenopiles; Ochrophyta; Bacillariophytina; Bacillariophyceae; Bacillariophyceae	Bacillariophyceae	Eukaryota	Bacillariophyta	Bacillariophyceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
a5b9cd5df598a3ce2c8f6e8ec6ce1b72	Eukaryota	SAR	Stramenopiles	Ochrophyta	Fragilariales	Ulnaria	Ulnaria	Eukaryota; SAR; Stramenopiles; Ochrophyta; Fragilariales; Ulnaria; Ulnaria	Ulnaria	Eukaryota	Bacillariophyta	Fragilariophyceae	NA	Licmophorales	Ulnariaceae	Ulnaria	NA	Fragilariophycidae	NA	NA	NA	NA	NA	NA	NA
61e096f70298572b86b9dcb281190114	Eukaryota	Archaeplastida	Chloroplastida	Chlorophyta	Sphaeropleales	NA	NA	Eukaryota; Archaeplastida; Chloroplastida; Chlorophyta; Sphaeropleales; Ambiguous_taxa; Ambiguous_taxa	Sphaeropleales	Eukaryota	Chlorophyta	Chlorophyceae	Viridiplantae	Sphaeropleales	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
f42795dd8b092f1bf3f386f6a868f460	Eukaryota	SAR	Stramenopiles	Ochrophyta	Mediophyceae	Pleurosira	Pleurosira	Eukaryota; SAR; Stramenopiles; Ochrophyta; Mediophyceae; Pleurosira; Pleurosira	Pleurosira	Eukaryota	Bacillariophyta	Mediophyceae	NA	Triceratiales	Triceratiaceae	Pleurosira	NA	Biddulphiophycidae	NA	NA	NA	NA	NA	NA	NA
360d42a81b4902f2ce327c53e330d32c	Eukaryota	SAR	Stramenopiles	Ochrophyta	Chromulinales	Chrysochaete	Chrysochaete britannica	Eukaryota; SAR; Stramenopiles; Ochrophyta; Chromulinales; Chrysochaete; Chrysochaete britannica	Chrysochaete britannica	Eukaryota	NA	Chrysophyceae	NA	Chromulinales	Chrysocapsaceae	Chrysochaete	Chrysochaete britannica	NA	NA	NA	NA	NA	NA	NA	NA
52dd1f5badb480d542b9e37f2b3b857b	Eukaryota	SAR	Stramenopiles	Ochrophyta	Vaucheriales	Vaucheria	Vaucheria terrestris	Eukaryota; SAR; Stramenopiles; Ochrophyta; Vaucheriales; Vaucheria; Vaucheria terrestris	Vaucheria terrestris	Eukaryota	NA	Xanthophyceae	NA	Vaucheriales	Vaucheriaceae	Vaucheria	Vaucheria terrestris	NA	NA	NA	NA	NA	NA	NA	NA
61ba498f25018715d2d927e5f915e14d	Eukaryota	SAR	Stramenopiles	Ochrophyta	Bacillariophyceae	Navicula	Navicula	Eukaryota; SAR; Stramenopiles; Ochrophyta; Bacillariophyceae; Navicula; Navicula	Navicula	Eukaryota	Bacillariophyta	Bacillariophyceae	NA	Naviculales	Naviculaceae	Navicula	NA	NA	NA	NA	NA	NA	NA	NA	NA
ae2169c4c15dfcfced7a7f574e935816	Eukaryota	SAR	Stramenopiles	Ochrophyta	Bacillariophyceae	Surirella	Surirella	Eukaryota; SAR; Stramenopiles; Ochrophyta; Bacillariophyceae; Surirella; Surirella	Surirella	Eukaryota	Bacillariophyta	Bacillariophyceae	NA	Surirellales	Surirellaceae	Surirella	NA	NA	NA	NA	NA	NA	NA	NA	NA
8bfe2ed588e2b9e0358412ee219a9860	Eukaryota	SAR	Stramenopiles	Ochrophyta	Bacillariophytina	Bacillariophyceae	Bacillariophyceae	Eukaryota; SAR; Stramenopiles; Ochrophyta; Bacillariophytina; Bacillariophyceae; Bacillariophyceae	Bacillariophyceae	Eukaryota	Bacillariophyta	Bacillariophyceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
a7889babf8f678e3e90cb916e8110abe	Eukaryota	SAR	Stramenopiles	Ochrophyta	Mediophyceae	Cyclotella	Cyclotella	Eukaryota; SAR; Stramenopiles; Ochrophyta; Mediophyceae; Cyclotella; Cyclotella	Cyclotella	Eukaryota	Bacillariophyta	Coscinodiscophyceae	NA	Thalassiosirales	Stephanodiscaceae	Cyclotella	NA	Thalassiosirophycidae	NA	NA	NA	NA	NA	NA	NA
1e48bdb7319ea96e59cae37674065ce9	Eukaryota	Archaeplastida	Chloroplastida	Chlorophyta	NA	NA	NA	Eukaryota; Archaeplastida; Chloroplastida; Chlorophyta; Ambiguous_taxa; Ambiguous_taxa; Ambiguous_taxa	Chlorophyta	Eukaryota	Chlorophyta	NA	Viridiplantae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3bba61afcb468d38e12aa5abff95bcba	Eukaryota	SAR	Stramenopiles	Ochrophyta	Bacillariophyceae	Gomphonema	Gomphonema	Eukaryota; SAR; Stramenopiles; Ochrophyta; Bacillariophyceae; Gomphonema; Gomphonema	Gomphonema	Eukaryota	Bacillariophyta	Bacillariophyceae	NA	Cymbellales	Gomphonemataceae	Gomphonema	NA	NA	NA	NA	NA	NA	NA	NA	NA
442437255579b65508b98416224f28fb	Eukaryota	SAR	Stramenopiles	Ochrophyta	Bacillariophytina	Bacillariophyceae	Bacillariophyceae	Eukaryota; SAR; Stramenopiles; Ochrophyta; Bacillariophytina; Bacillariophyceae; Bacillariophyceae	Bacillariophyceae	Eukaryota	Bacillariophyta	Bacillariophyceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
71e5b62568ffc3a09970f3c1922b99f7	Eukaryota	SAR	Stramenopiles	Ochrophyta	NA	NA	NA	Eukaryota; SAR; Stramenopiles; Ochrophyta; Ambiguous_taxa; Ambiguous_taxa; Ambiguous_taxa	Ochrophyta	NA	Ochrophyta	NA	Chromista	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fd3b87ea4ae4ddaaf215b3ca9ecef6bd	Eukaryota	SAR	Stramenopiles	Ochrophyta	Fragilariales	Licmophora	Licmophora flabellata	Eukaryota; SAR; Stramenopiles; Ochrophyta; Fragilariales; Licmophora; Licmophora flabellata	Licmophora flabellata	Eukaryota	Bacillariophyta	Fragilariophyceae	NA	Licmophorales	Licmophoraceae	Licmophora	Licmophora flabellata	Fragilariophycidae	NA	NA	NA	NA	NA	NA	NA
edb6a5b82adc5fe0eba74b33be5a1d0a	Eukaryota	SAR	Stramenopiles	Ochrophyta	Bacillariophyceae	Gomphonema	Gomphonema	Eukaryota; SAR; Stramenopiles; Ochrophyta; Bacillariophyceae; Gomphonema; Gomphonema	Gomphonema	Eukaryota	Bacillariophyta	Bacillariophyceae	NA	Cymbellales	Gomphonemataceae	Gomphonema	NA	NA	NA	NA	NA	NA	NA	NA	NA
1545ba97223b54ea831c86a1fc2bb3b5	Eukaryota	SAR	Stramenopiles	Ochrophyta	Bacillariophyceae	Navicula	Navicula	Eukaryota; SAR; Stramenopiles; Ochrophyta; Bacillariophyceae; Navicula; Navicula	Navicula	Eukaryota	Bacillariophyta	Bacillariophyceae	NA	Naviculales	Naviculaceae	Navicula	NA	NA	NA	NA	NA	NA	NA	NA	NA
c6253b688c32d55a265040187e4badaf	Eukaryota	SAR	Stramenopiles	Ochrophyta	Bacillariophytina	Bacillariophyceae	Bacillariophyceae	Eukaryota; SAR; Stramenopiles; Ochrophyta; Bacillariophytina; Bacillariophyceae; Bacillariophyceae	Bacillariophyceae	Eukaryota	Bacillariophyta	Bacillariophyceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
